Image Link,Name,Location,Type,Avg Cost,Area,Rooms,Description,Page No
https://mediacdn.99acres.com/media1/17287/5/345745084M-1645367764873.jpg,Kalpataru Jade Residences,Baner,Apartment,"₹ 1.75 Cr₹ 12,962/sq.ft.","1,350 sq.ft. (125 sq.m.) Carpet Area",3 BHK3 Baths,"Kalpataru Jade Residences offers 3 BHK flats in Baner, Pune. These are a new launch flats. There are a total of 8 towers in the project. The project is a nicely designed and offers an excellent infrastructure to the residents. It spreads across a carpet area of 1350.0 sq. ft. You can now get it for Rs. 1.75 Crore. Kalpataru Jade Residences offers inclusion of essential amenities like Swimming P...more",56
https://mediacdn.99acres.com/media1/17281/2/345622796M-1645276062437.jpg,Pride Park Titan,Marunji,Apartment,₹ 92.15 L,970 sq.ft. (90 sq.m.) Carpet Area,3 BHK,"Book a spectacular property in Pride Park Titan that brings 3 BHK apartments in Marunji, Pune. We have a 3 BHK apartment with a carpet area of 970.0 sq. ft., available at an economical price of Rs. 92.15 Lac. A close attention has been paid to each detail for a comfortable living. There are 15 towers in Pride Park Titan. Further, you can stay assured of Lawn Tennis Court, Toddler Pool, Swimming...more",57
https://mediacdn.99acres.com/media1/17281/2/345622792M-1645276061854.jpg,Pride Park Titan,Marunji,Apartment,₹ 66 L,720 sq.ft. (67 sq.m.) Carpet Area,2 BHK,"Pride Park Titan is a residential project, offering a range of 2 BHK flats in Marunji, Pune. It hosts exclusively designed 15 towers, each presenting an epitome of class and simplicity. We bring you a chance to book your 2 BHK flat that has a carpet area of 720.0 sq. ft. It is a new launch property. With an impressive layout and a comprehensive range of amenities like 24/7 Power Backup, Communi...more",57
https://mediacdn.99acres.com/media1/17281/1/345621672M-1645275638508.jpg,Kasturi Eon Homes,Phase-3 Hinjewadi,Apartment,"₹ 94.12 L₹ 11,423/sq.ft.",823 sq.ft. (76 sq.m.) Carpet Area,3 BHK,"Make Kasturi Eon Homes your next home. Book your 3 BHK flat in Phase-3 Hinjewadi , Pune. With a carpet area of 823.86 sq. ft., the flat combines the finest design and amenities in Pune to provide a living experience unlike any other. Here is an exclusive deal for you. Buy your 3 BHK flat for Rs. 94.12 Lac. It is an under construction property which is unique in its perfect harmony of classic fo...more",57
https://mediacdn.99acres.com/media1/17281/1/345621662M-1645275637905.jpg,Kasturi Eon Homes,Phase-3 Hinjewadi,Apartment,"₹ 73.77 L₹ 10,221/sq.ft.",721 sq.ft. (67 sq.m.) Carpet Area,2 BHK,"There is a 2 BHK apartment in Phase-3 Hinjewadi , Pune for sale in Kasturi Eon Homes. With a carpet area of 721.72 sq. ft, the residential apartment is available at a price of Rs. 73.77 Lac. Kasturi Eon Homes is meticulously designed to bring you an awe-inspiring lifestyle and convenience. It hosts a series of facilities like a Billiards, Jogging Track, High Speed Elevators, Video Door Security...more",57
https://mediacdn.99acres.com/media1/17281/1/345621264M-1645275526837.jpg,Bella Rossa Phase 2 by Veddant Buildcon,Punawale,Apartment,"₹ 51.51 L₹ 7,049/sq.ft.",730 sq.ft. (68 sq.m.) Carpet Area,2 BHK,"Let your dream of owning a flat come true with Bella Rossa Phase 2 by Veddant Buildcon. It offers an exclusive range of 2 BHK flats in Punawale, Pune. We bring you an amazing deal of a 2 BHK that is currently available at price of Rs. 51.51 Lac and has a carpet area of 730.77 sq. ft. Bella Rossa Phase 2 by Veddant Buildcon is a secured gated community that further has 24x7 security systems. It ...more",57
https://mediacdn.99acres.com/media1/17281/0/345620524M-1645275202509.jpg,Kakkad La Vida,Balewadi,Apartment,"₹ 70 L₹ 9,991/sq.ft.",700 sq.ft. (65 sq.m.) Carpet Area,2 BHK2 Baths,"Book your 2 BHK apartment in Kakkad La Vida, Balewadi, Pune. Having a carpet area of 700.62 sq. ft., the property is well ventilated and promises an exclusive view and refreshing vibes. The project is a superbly designed project set amidst excellent surroundings and offers residents a world-class infrastructure. Look at its range of general amenities that include Earthquake Resistant, Senior Ci...more",57
https://mediacdn.99acres.com/media1/17280/19/345619274M-1645274736771.jpg,24K Sereno,Baner,Apartment,"₹ 2.35 Cr₹ 14,669/sq.ft.","1,602 sq.ft. (149 sq.m.) Carpet Area",4 BHK4 Baths,"Make 24K Sereno your next home. Book your 4 BHK flat in Baner, Pune. With a carpet area of 1602.0 sq. ft., the flat combines the finest design and amenities in Pune to provide a living experience unlike any other. Here is an exclusive deal for you. Buy your 4 BHK flat for Rs. 2.35 Crore. It is a ready to move property which is unique in its perfect harmony of classic form and modern constructio...more",57
https://mediacdn.99acres.com/media1/17280/19/345619270M-1645274736771.jpg,24K Sereno,Baner,Apartment,"₹ 1.6 Cr₹ 15,444/sq.ft.","1,036 sq.ft. (96 sq.m.) Carpet Area",3 BHK3 Baths,"Live in a world of comfort and style at 24K Sereno located in Baner, Pune. Book your 3 BHK apartment now. Sprawling across a carpet area of 1036.0 sq. ft, it is a ready to move property available for Rs. 1.6 Crore. The project has 6 towers, each of them with aesthetically crafted interiors as well as exteriors The project has the latest Fire Fighting Systems, an exclusive Internal Street Lights...more",57
https://mediacdn.99acres.com/media1/17280/18/345618402M-1645274523391.jpg,Rachana Bella Casa Royale,Baner,Apartment,"₹ 98.81 L₹ 9,043/sq.ft.","1,092 sq.ft. (101 sq.m.) Super built-up Area",3 BHK,"Book your 3 BHK flat in Baner, Pune with Rachana Bella Casa Royale. It has a super built-up area of 1092.55 sq. ft. and is available at a price of Rs. 98.81 Lac.

It is an under construction property. Rachana Bella Casa Royale has 1 towers and features an array of facilities including a Children's Play Area, Party Lawn, Gymnasium, Swimming Pool and Toilet for drivers. Lifts are available too.more",57
https://mediacdn.99acres.com/media1/17280/18/345618396M-1645274523149.jpg,Rachana Bella Casa Royale,Baner,Apartment,"₹ 79.78 L₹ 9,010/sq.ft.",885 sq.ft. (82 sq.m.) Super built-up Area,2 BHK,"Experience a new style of living with Rachana Bella Casa Royale. It offers an exclusive range of 2 BHK apartments in Baner, Pune. Here is a steal deal for you. Book your 2 BHK apartment here at a never before price of Rs. 79.78 Lac. The unit has a super built-up area of 885.45 sq. ft. This is an under construction project. It has been designed keeping every small to large needs of residents in ...more",57
https://mediacdn.99acres.com/media1/17280/17/345617844M-1645274476147.jpg,43 Privet Drive1.9 ★,Balewadi,Apartment,"₹ 1.7 Cr₹ 16,466/sq.ft.","1,032 sq.ft. (96 sq.m.) Carpet Area",3 BHK3 Baths,"Make 43 Privet Drive your next home. Book your 3 BHK flat in Balewadi, Pune. With a carpet area of 1032.37 sq. ft., the flat combines the finest design and amenities in Pune to provide a living experience unlike any other. Here is an exclusive deal for you. Buy your 3 BHK flat for Rs. 1.7 Crore. It is an under construction property which is unique in its perfect harmony of classic form and mode...more",57
